cohort,variant,baseline,seed,split,ER20_delta,F20_delta,LE_CD_delta,LR_CD_delta,SELD_LR_delta
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2026,validation,-0.022693341295909164,0.013367151013579492,-1.1439456444672604,-0.0019234265085000812,-0.010123079845340499
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2027,evaluation,0.002531457076911714,-0.009493801155679382,-0.021256340377167504,-0.023453831415334858,0.008840249717013304
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2027,validation,-0.007464914899970143,0.006112502896036209,-0.09406764945490131,0.00981910193989366,-0.005979779447106814
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2028,evaluation,-0.009455736728464004,0.002996820965992686,-0.03519055672189708,0.000527428759308668,-0.00329387238666623
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2028,validation,-0.0028366676619886455,0.001687687311237862,0.5617956763388072,0.008795468097793635,-0.002549683995062224
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2026,evaluation,-0.00379718561536746,0.000519774653732874,-0.25716553308325096,-0.008397725184605576,0.0006630168773717471
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2026,validation,-0.016273514481934925,0.01242892301782439,-0.6558642023854979,0.014727522144885596,-0.01176841241447435
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2027,evaluation,0.013550740823468188,-0.009742199688021536,-0.07781128637881629,-0.004914713877329668,0.006943842366123165
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2027,validation,0.008510002985965937,-0.0065291678369487904,0.6166324347893131,0.002898659828681649,0.0038915616857656543
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2028,evaluation,0.005881914972824087,0.0035397601992092076,-0.41656926761518065,0.0013451622648776862,-0.0003293203000589995
historical_Multi-ACCDOA_causal,C2_lambda005,C0,2028,validation,-0.0008957897879964261,0.011090569477580692,-0.3260107283015916,-0.00016307240859281258,-0.0034086143924427215
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2026,evaluation,-0.004020549475095003,0.00922897925218974,-0.6597227381832926,-0.005146842311711142,-0.0029419531847035274
