family,context,variant,weight,split,profile,n,seeds,ER20_mean,ER20_sample_sd,F20_mean,F20_sample_sd,LE_CD_mean,LE_CD_sample_sd,LF_CD_mean,LF_CD_sample_sd,SELD_LF_mean,SELD_LF_sample_sd,LR_CD_mean,LR_CD_sample_sd,SELD_LR_mean,SELD_LR_sample_sd
EINV2,noncausal,E3,0.2,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.36471689047366157,0.013890528186759376,0.7149262556096265,0.018128182983806092,12.102934037118553,1.8000469314612304,,,,,0.7834762157651165,0.007277281176311341,0.23338823538183875,0.010219818964332527
EINV2,noncausal,E3,0.2,evaluation,dcase2023_macro,3,"2026,2027,2028",0.3983818529273075,0.019665089370130655,0.7128072464552222,0.02114119418399102,11.303819456697456,1.628804444522939,,,,,0.7760807066368139,0.004988912846532264,0.24307322420423097,0.012925173071364692
EINV2,noncausal,E3,0.2,evaluation,dcase2023_micro,3,"2026,2027,2028",0.3983818529273075,0.019665089370130655,0.6993630828594823,0.019566167768985916,12.075545631639082,1.8229663823081554,,,,,0.7757772864227374,0.007180501532572746,0.24758196206632624,0.012674213343565348
EINV2,noncausal,E3,0.2,validation,dcase2020_source,3,"2026,2027,2028",0.4150311881941275,0.010422253800976082,0.6746882773591993,0.018538604804247977,11.121485017350988,1.79170720326949,0.7570442036142069,0.009479001368966367,0.2612711837737233,0.007330452573276871,,,,
EINV2,noncausal,E3,0.2,validation,dcase2020_web_lr,3,"2026,2027,2028",0.4150311881941275,0.010422253800976082,0.6746882773591993,0.018538604804247977,11.121485017350988,1.79170720326949,,,,,0.7475531213550383,0.006225257632613114,0.2636439543385155,0.00824028396896449
EINV2,noncausal,E3,0.2,validation,dcase2023_macro,3,"2026,2027,2028",0.4593410968448293,0.019537742143628897,0.6436303136893533,0.028042608149175707,10.82631631990402,1.7951962759391809,,,,,0.734269017416515,0.008572702068883551,0.2853969918790514,0.014767734136959209
EINV2,noncausal,E3,0.2,validation,dcase2023_micro,3,"2026,2027,2028",0.4593410968448293,0.019537742143628897,0.6547098350526781,0.019372311134584493,11.137784054430595,1.79696750718228,,,,,0.7364105356700018,0.00599479015691245,0.2825243260505798,0.010744658205243477
Multi-ACCDOA,causal,C0,0,evaluation,dcase2020_source,3,"2026,2027,2028",0.6134840553321701,0.009998692558980516,0.4940945681184294,0.006944872062599621,15.257715888120917,0.13536035023049692,0.6116709964955365,0.009478166183301938,0.3981208947463856,0.00627984263380514,,,,
Multi-ACCDOA,causal,C0,0,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.6134840553321701,0.009998692558980516,0.4940945681184294,0.006944872062599621,15.257715888120917,0.13536035023049692,,,,,0.5764863566244341,0.008853146975677928,0.40691705471416123,0.006019998460038871
Multi-ACCDOA,causal,C0,0,evaluation,dcase2023_macro,3,"2026,2027,2028",0.610527883255156,0.006362712517452806,0.4265834152460404,0.007610717188567335,34.34498634553835,6.822599363028607,,,,,0.4928029328429547,0.011958173867480796,0.47048675371589904,0.01392983583601757
Multi-ACCDOA,causal,C0,0,evaluation,dcase2023_micro,3,"2026,2027,2028",0.610527883255156,0.006362712517452806,0.4897955774263219,0.006904557874263729,15.344315821941825,0.10638319284168395,,,,,0.5679023864733894,0.008786345592587884,0.40951902959155817,0.0051851686046654145
Multi-ACCDOA,causal,C0,0,validation,dcase2020_source,3,"2026,2027,2028",0.6414118363000152,0.005529524371028863,0.47192350657946724,0.004834983371309957,15.693620371236241,0.5145596226877468,0.5912459177298194,0.004197410183885685,0.4163572979577325,0.003826990888926197,,,,
Multi-ACCDOA,causal,C0,0,validation,dcase2020_web_lr,3,"2026,2027,2028",0.6414118363000152,0.005529524371028863,0.47192350657946724,0.004834983371309957,15.693620371236241,0.5145596226877468,,,,,0.5559105431309904,0.0014512995609568676,0.42519114160743976,0.003519381456010908
Multi-ACCDOA,causal,C0,0,validation,dcase2023_macro,3,"2026,2027,2028",0.636010749477456,0.008538766328951203,0.38350993150026175,0.017154996006650214,35.747450795219784,6.896542150604535,,,,,0.45775718852562713,0.012599862693874395,0.49833514457847483,0.01801135733482482
Multi-ACCDOA,causal,C0,0,validation,dcase2023_micro,3,"2026,2027,2028",0.636010749477456,0.008538766328951203,0.46812173726579087,0.00483872096105147,15.72055644356045,0.5212001393379733,,,,,0.5463941526732122,0.001224160202811447,0.4272078210562249,0.004260386315957402
Multi-ACCDOA,causal,C1_lambda005,0.05,evaluation,dcase2020_source,3,"2026,2027,2028",0.6139139670738184,0.01044677543298497,0.4931127423500506,0.01051465932350301,15.170856311489667,0.20259445656241773,0.6078681441408915,0.007611232691669814,0.39930390391167697,0.007368377843254695,,,,
Multi-ACCDOA,causal,C1_lambda005,0.05,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.6139139670738184,0.01044677543298497,0.4931127423500506,0.01051465932350301,15.170856311489667,0.20259445656241773,,,,,0.5668259869003364,0.009179984629590217,0.40956444322181573,0.007765982224700022
Multi-ACCDOA,causal,C1_lambda005,0.05,evaluation,dcase2023_macro,3,"2026,2027,2028",0.6061598788871516,0.0086419760961696,0.4128677489825311,0.015574372743883059,34.34743412495592,6.934004076220993,,,,,0.47534322843325916,0.018370133929169176,0.4771919949858347,0.013743553151418484
Multi-ACCDOA,causal,C1_lambda005,0.05,evaluation,dcase2023_micro,3,"2026,2027,2028",0.6061598788871516,0.0086419760961696,0.48881521034238234,0.01015257629244544,15.221758225755169,0.19087312512250762,,,,,0.5580534187866029,0.008879090213134945,0.41096414330864606,0.007123094350176938
Multi-ACCDOA,causal,C1_lambda005,0.05,validation,dcase2020_source,3,"2026,2027,2028",0.6336528221512248,0.0007606876616461089,0.47894765576471315,0.0041801266874823585,15.466420798341092,0.3852321290905139,0.6007055271606027,0.0058125347655565065,0.4099810498041732,0.002123056373553246,,,,
Multi-ACCDOA,causal,C1_lambda005,0.05,validation,dcase2020_web_lr,3,"2026,2027,2028",0.6336528221512248,0.0007606876616461089,0.47894765576471315,0.0041801266874823585,15.466420798341092,0.3852321290905139,,,,,0.5615903443379482,0.007958310292877186,0.4197598455098368,0.002206496237117838
Multi-ACCDOA,causal,C1_lambda005,0.05,validation,dcase2023_macro,3,"2026,2027,2028",0.6250124415248333,0.002570070933348334,0.37802259984778225,0.00974146264873054,35.29654883572277,6.8587772797388,,,,,0.45014348376962027,0.010128531800359114,0.4982345739709171,0.010534539584032587
Multi-ACCDOA,causal,C1_lambda005,0.05,validation,dcase2023_micro,3,"2026,2027,2028",0.6250124415248333,0.002570070933348334,0.475177517672742,0.004400552210032382,15.495150571032667,0.3706756799609239,,,,,0.5519578671829414,0.0077247058323817565,0.42099030662705506,0.0022081934434053344
Multi-ACCDOA,causal,C2_lambda005,0.05,evaluation,dcase2020_source,3,"2026,2027,2028",0.6172015274511291,0.011183425295759743,0.49189234733941334,0.008860679267416204,15.030073031218986,0.2956349617816374,0.6054999868809327,0.007338984199528351,0.40082739973994436,0.0064482604566378455,,,,
Multi-ACCDOA,causal,C2_lambda005,0.05,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.6172015274511291,0.011183425295759743,0.49189234733941334,0.008860679267416204,15.030073031218986,0.2956349617816374,,,,,0.572844751283413,0.0043887034873122946,0.40899120863932426,0.0050837642476770275
Multi-ACCDOA,causal,C2_lambda005,0.05,evaluation,dcase2023_macro,3,"2026,2027,2028",0.6157397066487976,0.013992517227056626,0.4128966651687055,0.009627598437003448,30.18577374689427,13.89182225015711,,,,,0.4800777827546331,0.022954371804608756,0.47261600044094015,0.024643424366659925
Multi-ACCDOA,causal,C2_lambda005,0.05,evaluation,dcase2023_micro,3,"2026,2027,2028",0.6157397066487976,0.013992517227056626,0.48790135581462873,0.008522637559494811,15.093800459582742,0.27536206648230893,,,,,0.5639132942077035,0.004347881017214536,0.4119448759060368,0.005721553360660516
Multi-ACCDOA,causal,C2_lambda005,0.05,validation,dcase2020_source,3,"2026,2027,2028",0.6401947360413814,0.004505429148017899,0.4776024087193039,0.007196416636513634,15.557814766396042,0.5500492188890932,0.5935897718525053,0.009775752300474888,0.413858714931832,0.0040301868768412704,,,,
Multi-ACCDOA,causal,C2_lambda005,0.05,validation,dcase2020_web_lr,3,"2026,2027,2028",0.6401947360413814,0.004505429148017899,0.4776024087193039,0.007196416636513634,15.557814766396042,0.5500492188890932,,,,,0.5617424818702774,0.006590090287586335,0.421820537427389,0.003687342584324566
Multi-ACCDOA,causal,C2_lambda005,0.05,validation,dcase2023_macro,3,"2026,2027,2028",0.6331243157161341,0.005863325157894439,0.3756707903528894,0.015742785492615007,39.68541192244331,0.3602229975901395,,,,,0.4529052810445919,0.014855190925524281,0.5062556887497234,0.006886665507119998
Multi-ACCDOA,causal,C2_lambda005,0.05,validation,dcase2023_micro,3,"2026,2027,2028",0.6331243157161341,0.005863325157894439,0.4737851788186096,0.0069169175785629275,15.598808944927859,0.5605268656527876,,,,,0.5522151891948704,0.006665625224191893,0.42344599934917443,0.004280896566526001
Multi-ACCDOA,causal,C3_lambda005,0.05,evaluation,dcase2020_source,3,"2026,2027,2028",0.6134081885542321,0.008718519984902227,0.4944756052605097,0.01382823198470965,14.473387321777114,0.16224602956823755,0.5961443308717137,0.015731833943847036,0.4007989899413037,0.009358285249642485,,,,
Multi-ACCDOA,causal,C3_lambda005,0.05,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.6134081885542321,0.008718519984902227,0.4944756052605097,0.01382823198470965,14.473387321777114,0.16224602956823755,,,,,0.5546114356523278,0.020060463446932582,0.41118221374615016,0.010421087417948196
Multi-ACCDOA,causal,C3_lambda005,0.05,evaluation,dcase2023_macro,3,"2026,2027,2028",0.6112227930409748,0.010223444444927541,0.4003080916284667,0.012540635396340271,33.83896283702836,6.928542419149984,,,,,0.4566319223326473,0.013547188629830186,0.48556925426583786,0.010357428734063511
Multi-ACCDOA,causal,C3_lambda005,0.05,evaluation,dcase2023_micro,3,"2026,2027,2028",0.6112227930409748,0.010223444444927541,0.49040594738424426,0.013370101832342916,14.541768398551259,0.1551501773913607,,,,,0.5461263834831709,0.019534382840658164,0.41386951609693334,0.010507178019388823
Multi-ACCDOA,causal,C3_lambda005,0.05,validation,dcase2020_source,3,"2026,2027,2028",0.6414118363000152,0.007471796231741125,0.47261884083071276,0.005342801488485106,15.110286655797394,0.3688140635448822,0.5870612857749381,0.0045274831791515,0.4164194366677541,0.003589711409687383,,,,
Multi-ACCDOA,causal,C3_lambda005,0.05,validation,dcase2020_web_lr,3,"2026,2027,2028",0.6414118363000152,0.007471796231741125,0.47261884083071276,0.005342801488485106,15.110286655797394,0.3688140635448822,,,,,0.5461230285511436,0.009593515015848736,0.42665400097370276,0.0035462809772561187
Multi-ACCDOA,causal,C3_lambda005,0.05,validation,dcase2023_macro,3,"2026,2027,2028",0.6332238479148005,0.008595139884326277,0.3573796760583899,0.017748049443219505,39.31507015346852,0.3730821760091585,,,,,0.4326281905239058,0.012156013861762908,0.5154082594351658,0.009767494614825007
Multi-ACCDOA,causal,C3_lambda005,0.05,validation,dcase2023_micro,3,"2026,2027,2028",0.6332238479148005,0.008595139884326277,0.4689387795770496,0.0052608334232988425,15.152491743277224,0.34859636606335986,,,,,0.5367604762939145,0.00943916249696937,0.4279262754321774,0.0038227208833771092
